index,ticker,quoteType,marketCap,sharesOutstanding,exchange,bookValue,longName,shortName,trailingPE,trailingAnnualDividendYield
3100,LION,EQUITY,159128256.0,12900000.0,NGM,0.007,Lionheart III Corp,Lionheart III Corp,,
3101,LIONU,EQUITY,,,NGM,0.007,Lionheart III Corp,Lionheart III Corp,,
3102,LIONW,EQUITY,,,NGM,0.007,Lionheart III Corp,Lionheart III Corp Warrant,,
3103,LIQT,EQUITY,52362824.0,21285700.0,NCM,0.737,"LiqTech International, Inc.","LiqTech International, Inc.",,
3104,LITE,EQUITY,6904650240.0,72300000.0,NMS,27.267,Lumentum Holdings Inc.,Lumentum Holdings Inc.,18.025671,
3105,LITM,EQUITY,162750400.0,16210200.0,NCM,0.365,Snow Lake Resources Ltd.,Snow Lake Resources Ltd.,,
3106,LITT,EQUITY,413762528.0,34089600.0,NGM,-0.614,Logistics Innovation Technologies Corp.,Logistics Innovation Technologi,,
3107,LITTU,EQUITY,,,NGM,-0.614,Logistics Innovation Technologies Corp.,Logistics Innovation Technologi,,
3108,LITTW,EQUITY,,,NGM,-0.647,Logistics Innovation Technologies Corp.,Logistics Innovation Technologies Corp. Warrant,,
3109,LIVB,EQUITY,,,NGM,,LIV Capital Acquisition Corp. II,LIV Capital Acquisition Corp. I,,
3110,LIVBU,EQUITY,,,NGM,,LIV Capital Acquisition Corp. II,LIV Capital Acquisition Corp. I,,
3111,LIVBW,EQUITY,,,NMS,,LIV Capital Acquisition Corp. II,LIV Capital Acquisition Corp. I,,
3112,LIVE,EQUITY,68040192.0,1582330.0,NCM,47.736,Live Ventures Incorporated,Live Ventures Incorporated,4.387755,0.0
3113,LIVN,EQUITY,4508731904.0,53225500.0,NMS,24.661,LivaNova PLC,LivaNova PLC,,
3114,LIXT,EQUITY,16495921.0,13746600.0,NCM,0.187,"Lixte Biotechnology Holdings, Inc.","Lixte Biotechnology Holdings, I",,
3115,LIXTW,EQUITY,,,NCM,,"Lixte Biotechnology Holdings, Inc.","Lixte Biotechnology Holdings, I",,
